current_name,steamid64,oz_id,date_utc,text
lazcore,76561198140731013,2825,2025-07-22,faggot
Mr scattergun,76561199141112344,3507,2025-03-21,BITCH
lime,76561198367981056,4240,2025-04-14,tony the nigger
Hank,76561199453377641,5620,2025-03-23,what a faggot lmfao
ifun KappaChungusDeluxe,76561198030880491,1541,2025-08-26,my faggot soldier
lazcore,76561198140731013,2825,2025-04-16,fuck bitch
doku,76561199205319751,4924,2025-05-17,nigga really wants me
airflameon,76561198069614351,16,2025-04-09,dog cunt
maff,76561199106104716,3942,2025-06-14,nigger
doku,76561199205319751,4924,2025-05-10,r u retarded
Batman.,76561199044900678,5692,2025-08-29,faggot
spoyo,76561198895489147,5525,2025-05-18,RETARD
psyco,76561198126477668,391,2025-08-24,bitch
hoxy.my,76561198135473413,3480,2025-05-31,im typing nigger
zhern,76561198027033926,4202,2025-06-15,Me whe n i use big facny word still sound like RETARD WHO DRIBBLES
freesheep,76561198055313748,1140,2025-04-20,u a bitch
nonamed lowdiv2 haennrie,76561198329126870,3340,2025-07-30,nigger in it
gigi,76561198061717026,5340,2025-04-19,fags AF
Wungus,76561198137146721,5658,2025-08-05,youre a retard
h1ro,76561198307700283,1381,2025-08-08,FUCKING NEED UR WHOLE BITCHES
Jackaks,76561199516381193,5750,2025-05-25,FUCKING CUNTS
Tauiluigi,76561199196553820,5698,2025-07-08,WERE SO FUCKING RETARDED
amnok,76561198066752804,4104,2025-04-13,nigger end this shit
kosina,76561198379718122,3254,2025-07-23,nigger nigger nigger nigger 
ruka-,76561198802180851,5680,2025-08-25,NOOB NIGGA
juna,76561198513775985,4559,2025-04-24,shitter
[GN92] Cha1r,76561198984387837,4458,2025-07-19,more like smokeass retard
AUZ,76561198206072125,912,2025-09-13,SHOOTING ME CUNt
dayap,76561198267475132,1275,2025-07-12,"cunt.,"
maz,76561198050517054,1653,2025-04-16,wtf just happened cunt
[GN92] Cha1r,76561198984387837,4458,2025-06-11,bitch ass nigga
