current_name,steamid64,oz_id,c_all,c180,c31,c7,first_hit_utc,last_hit_utc
Tew,76561198089871086,1064,1849,0,0,0,2015-04-24,2025-01-29
HERTZ alt,76561198085144099,3521,1412,0,0,0,2014-08-24,2021-01-10
Sprite,76561198018180643,1588,1315,0,0,0,2016-03-05,2022-07-21
MEMORIES,76561198120920913,554,1206,14,11,1,2015-10-21,2025-09-14
Elmo.,76561197972273857,129,979,12,0,0,2013-11-02,2025-07-08
don0ovvuv89n,76561198045679387,2604,883,0,0,0,2014-03-21,2024-04-15
havok,76561198141760250,1675,812,0,0,0,2016-05-20,2020-06-19
elixr,76561198124005288,2823,808,0,0,0,2017-03-02,2023-07-01
daga,76561198105323129,2175,775,7,1,0,2015-03-06,2025-08-19
Drugstoner420_,76561198060618023,1872,738,0,0,0,2016-07-21,2023-10-29
doku,76561199205319751,4924,721,130,20,2,2022-07-12,2025-09-14
bluR,76561198060624229,1866,712,2,0,0,2013-09-04,2025-07-24
exXxposed,76561198048691505,327,630,2,0,0,2013-08-30,2025-04-13
buud..d1ck,76561198096570937,2375,600,3,0,0,2015-05-20,2025-06-21
jetz,76561198071417593,2619,595,0,0,0,2014-05-27,2021-04-18
sao,76561198137286565,216,591,2,0,0,2015-09-13,2025-06-18
ace`,76561198129192590,1058,587,0,0,0,2016-01-13,2024-06-30
h1ro,76561198307700283,1381,587,63,21,4,2017-02-16,2025-09-11
Chochy,76561198275783619,1173,571,0,0,0,2016-05-06,2019-04-07
SOOOOOAPYMEiSTER,76561198049378596,3551,558,1,0,0,2014-01-28,2025-04-02
Simpatia,76561198171880670,988,549,0,0,0,2015-05-01,2017-06-10
✿ lilbootycall ✿,76561198018793342,1274,537,1,0,0,2014-04-19,2025-07-03
Deluxe Quarter Pack,76561198110145092,1030,534,0,0,0,2018-01-30,2023-09-04
lil sun,76561198106520426,1574,527,0,0,0,2015-09-05,2020-04-16
xtl_,76561198142492589,546,521,0,0,0,2015-08-17,2021-02-08
WONDER.,76561198092527854,4144,516,0,0,0,2014-09-03,2023-09-06
canlock,76561198173071353,2435,508,0,0,0,2016-01-23,2020-03-19
midas,76561198083851689,1988,493,0,0,0,2014-03-16,2020-04-15
redcoatzygote,76561198085074857,252,483,0,0,0,2016-11-16,2025-01-03
AUZ,76561198206072125,912,482,16,10,3,2017-02-12,2025-09-14
zamblargo (retard),76561198295713840,2609,482,10,0,0,2016-12-25,2025-08-15
lime,76561198367981056,4240,481,32,6,0,2017-05-30,2025-08-29
Nati0nal,76561198258747476,1062,480,4,0,0,2017-01-20,2025-07-24
kori,76561198328824242,3303,471,7,1,0,2018-03-15,2025-08-23
Geoh,76561197999613846,340,470,0,0,0,2014-06-13,2020-04-29
Nubbi,76561198140608606,1530,468,2,0,0,2015-05-21,2025-08-08
hellish,76561198120489441,2130,468,0,0,0,2016-03-12,2021-02-24
krollic,76561198012078444,380,467,0,0,0,2015-04-20,2023-12-04
reero,76561198071785065,2162,464,1,0,0,2014-09-28,2025-06-28
cuin lumby,76561198097433162,82,461,0,0,0,2014-12-21,2021-09-13
Offside,76561198148030229,1626,459,4,0,0,2016-07-14,2025-06-23
freesheep,76561198055313748,1140,436,3,0,0,2019-09-28,2025-08-15
Xi sniper god,76561198216933975,3860,434,4,2,0,2016-10-16,2025-08-30
subinka,76561198038366440,571,433,0,0,0,2014-08-11,2020-06-28
poy,76561198114063534,1400,429,0,0,0,2015-09-17,2024-06-17
:],76561198192838927,2506,424,0,0,0,2017-07-19,2023-08-01
cala,76561198000694630,486,410,0,0,0,2016-01-19,2024-11-11
Eddie,76561198081031350,255,409,0,0,0,2015-04-09,2017-11-30
ALT,76561198073437085,409,394,14,0,0,2016-06-12,2025-08-13
